nq time
1 0.0590062141418457
2 0.12087011337280273
3 0.23424530029296875
4 0.4317319393157959
5 0.6685194969177246
6 1.0112535953521729
7 1.5036401748657227
8 2.1222517490386963
9 2.900723934173584
10 3.9848427772521973
11 5.110045671463013
12 6.485308408737183
13 8.515954732894897
14 10.467626810073853
15 14.676339626312256
16 16.96268916130066
17 20.228870153427124
18 27.41748595237732
19 28.582791090011597
20 30.092267990112305
